,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
794,TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2018.0,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",2020
795,Traya,HealthTech,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",2020
796,Charcoal Eats,QSR startup,Venture - Series Unknown,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2015.0,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2020
797,Mitron TV,Video platform,Venture - Series Unknown,,Bangalore,Mitron is a free short videoplatform for next generation,2020.0,"Shivank Agarwal, Anish Khandelwal",9Unicorns,2020
798,Svami,Food & Bevarages,Venture - Series Unknown,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2016.0,Sahil Jatana,"Niren Shah, Rukam Capital Trust",2020
799,Dhurnia,EdTech,Venture - Series Unknown,100000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2018.0,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",2020
800,Expertrons,EdTech,Venture - Series Unknown,,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2019.0,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",2020
801,Leena AI,AI,Venture - Series Unknown,8000000.0,Outside India,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2015.0,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",2020
802,Bizlog,Logistics,Venture - Series Unknown,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2016.0,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,2020
803,Tamasha.live,Gaming,Venture - Series Unknown,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020.0,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",2020
804,Fedo,AI,Venture - Series Unknown,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2017.0,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,2020
805,FabHotels,Hospitality,Venture - Series Unknown,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2015.0,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",2020
806,Freshokartz,AgriTech,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2016.0,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",2020
807,FlexiLoans,FinTech,Debt Financing,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2016.0,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,2020
